Filename;Leadname;QrsDuration Error;QrsOfset Error;QrsOnset Error
ANE20000;I;2;-278;-186
;II;2;-278;-186
;III;-1;-281;-186
;aVR;2;-278;-186
;aVL;3;-277;-186
;aVF;1;-279;-186
;V1;19;-273;-198
;V2;0;-268;-174
;V3;2;-266;-174
;V4;8;-276;-190
;V5;5;-279;-190
;V6;4;-280;-190
ANE20001;I;1;-323;-230
;II;1;-323;-230
;III;-1;-325;-230
;aVR;1;-323;-230
;aVL;2;-322;-230
;aVF;1;-323;-230
;V1;18;-318;-242
;V2;-1;-313;-218
;V3;1;-311;-218
;V4;7;-321;-234
;V5;4;-324;-234
;V6;4;-324;-234
ANE20002;I;-83;-231;-54
;II;-86;-233;-53
;III;-87;-234;-53
;aVR;-85;-232;-53
;aVL;-82;-230;-54
;aVF;-86;-233;-53
;V1;-60;-227;-73
;V2;1;-221;-128
;V3;-74;-220;-52
;V4;-84;-230;-52
;V5;-87;-233;-52
;V6;-88;-234;-52
CAL05000;I;-9;-3;8
;II;-9;-3;8
;III;0;0;0
;aVR;-9;-3;8
;aVL;-8;-2;8
;aVF;-8;-2;8
;V1;-9;-3;8
;V2;-9;-3;8
;V3;-9;-3;8
;V4;-9;-3;8
;V5;-9;-3;8
;V6;-9;-3;8
CAL10000;I;-10;-3;9
;II;-10;-3;9
;III;0;0;0
;aVR;-10;-3;9
;aVL;-9;-3;8
;aVF;-9;-3;8
;V1;-10;-3;9
;V2;-10;-3;9
;V3;-10;-3;9
;V4;-10;-3;9
;V5;-10;-3;9
;V6;-10;-3;9
CAL15000;I;-10;-2;8
;II;-10;-2;8
;III;0;0;0
;aVR;-10;-2;8
;aVL;-10;-2;8
;aVF;-10;-2;8
;V1;-10;-2;8
;V2;-10;-2;8
;V3;-10;-2;8
;V4;-10;-2;8
;V5;-10;-2;8
;V6;-10;-2;8
CAL20000;I;-10;-2;8
;II;-10;-2;8
;III;0;0;0
;aVR;-10;-2;8
;aVL;-10;-2;8
;aVF;-10;-2;8
;V1;-10;-2;8
;V2;-10;-2;8
;V3;-10;-2;8
;V4;-10;-2;8
;V5;-10;-2;8
;V6;-10;-2;8
CAL20002;I;-9;-1;8
;II;-9;-1;8
;III;0;0;0
;aVR;-9;-1;8
;aVL;-9;-1;8
;aVF;-9;-1;8
;V1;-9;-1;8
;V2;-9;-1;8
;V3;-9;-1;8
;V4;-9;-1;8
;V5;-9;-1;8
;V6;-9;-1;8
CAL20100;I;-9;-1;8
;II;-9;-1;8
;III;0;0;0
;aVR;-9;-1;8
;aVL;-9;-1;8
;aVF;-9;-1;8
;V1;-9;-1;8
;V2;-9;-1;8
;V3;-9;-1;8
;V4;-9;-1;8
;V5;-9;-1;8
;V6;-9;-1;8
CAL20110;I;-9;-1;8
;II;-9;-1;8
;III;0;0;0
;aVR;-9;-1;8
;aVL;-9;-1;8
;aVF;-9;-1;8
;V1;-9;-1;8
;V2;-9;-1;8
;V3;-9;-1;8
;V4;-9;-1;8
;V5;-9;-1;8
;V6;-9;-1;8
CAL20160;I;-9;-1;8
;II;-9;-1;8
;III;0;0;0
;aVR;-9;-1;8
;aVL;-8;-1;7
;aVF;-8;-1;7
;V1;-9;-1;8
;V2;-9;-1;8
;V3;-9;-1;8
;V4;-9;-1;8
;V5;-9;-1;8
;V6;-9;-1;8
CAL20200;I;-3;-2;1
;II;-3;-2;1
;III;0;0;0
;aVR;27;28;1
;aVL;-3;-2;1
;aVF;-3;-2;1
;V1;-3;-2;1
;V2;-3;-2;1
;V3;-3;-2;1
;V4;-3;-2;1
;V5;-3;-2;1
;V6;-3;-2;1
CAL20210;I;-2;-1;1
;II;-2;-1;1
;III;0;0;0
;aVR;27;28;1
;aVL;-2;-1;1
;aVF;-2;-1;1
;V1;-2;-1;1
;V2;-2;-1;1
;V3;-2;-1;1
;V4;-2;-1;1
;V5;-2;-1;1
;V6;-2;-1;1
CAL20260;I;-3;-2;1
;II;-3;-2;1
;III;0;0;0
;aVR;27;28;1
;aVL;-3;-2;1
;aVF;-3;-2;1
;V1;-3;-2;1
;V2;-3;-2;1
;V3;-3;-2;1
;V4;-3;-2;1
;V5;-3;-2;1
;V6;-3;-2;1
CAL20500;I;-14;-6;8
;II;-14;-6;8
;III;0;0;0
;aVR;-14;-6;8
;aVL;-14;-6;8
;aVF;-14;-6;8
;V1;-14;-6;8
;V2;-14;-6;8
;V3;-14;-6;8
;V4;-14;-6;8
;V5;-14;-6;8
;V6;-14;-6;8
CAL20502;I;-95;-5;90
;II;-95;-5;90
;III;0;0;0
;aVR;-95;-5;90
;aVL;-95;-5;90
;aVF;-95;-5;90
;V1;-95;-5;90
;V2;-95;-5;90
;V3;-95;-5;90
;V4;-95;-5;90
;V5;-95;-5;90
;V6;-95;-5;90
CAL30000;I;-10;-2;8
;II;-10;-2;8
;III;0;0;0
;aVR;-10;-2;8
;aVL;-10;-2;8
;aVF;-10;-2;8
;V1;-10;-2;8
;V2;-10;-2;8
;V3;-10;-2;8
;V4;-10;-2;8
;V5;-10;-2;8
;V6;-10;-2;8
CAL50000;I;26;-2;-28
;II;26;-2;-28
;III;0;0;0
;aVR;-10;-2;8
;aVL;26;-2;-28
;aVF;26;-2;-28
;V1;26;-2;-28
;V2;26;-2;-28
;V3;26;-2;-28
;V4;26;-2;-28
;V5;26;-2;-28
;V6;26;-2;-28
