name_File;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12
MA1_001;"(""QRS"", ""QR"")";"(""RS"", ""QR"")";"(""Q"", ""RS"")";"(""QR"", ""QRS"")";"(""QRS"", ""QR"")";"(""Q"", ""RS"")";"(""R"", ""QRS"")";"(""QRS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""Q"", ""QR"")"
MA1_002;"(""R"", ""R"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""QR"", ""RS"")"
MA1_003;"(""R"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""Q"", ""QR"")";"(""QR"", ""QR"")";"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""Q"", ""RS"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")"
MA1_004;"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""R"", ""R"")";"(""RS"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""R"", ""RS"")";"(""R"", ""R"")";"(""R"", ""R"")"
MA1_005;"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""QR"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""Q"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")"
MA1_006;"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""R"", ""RS"")"
MA1_007;"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""Q"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")"
MA1_008;"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""QR"")";"(""Q"", ""QR"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""Q"", ""QR"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""QR"", ""R"")";"(""R"", ""R"")"
MA1_009;"(""QRS"", ""QRS"")";"(""Q"", ""QRS"")";"(""QR"", ""QR"")";"(""QR"", ""QR"")";"(""QRS"", ""QRS"")";"(""Q"", ""QRS"")";"(""R"", ""R"")";"(""R"", ""RS"")";"(""QRS"", ""QR"")";"(""QRS"", ""RS"")";"(""QRS"", ""RS"")";"(""QRS"", ""Q"")"
MA1_010;"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""QR"", ""QRS"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""QRS"", ""R"")";"(""RS"", ""R"")"
MA1_011;"(""R"", ""QR"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""R"")";"(""R"", ""RS"")";"(""QR"", ""QRS"")"
MA1_012;"(""QRS"", ""QRS"")";"(""QRS"", ""R"")";"(""QRS"", ""QRS"")";"(""QR"", ""Q"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QR"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""R"", ""R"")"
MA1_013;"(""QR"", ""QR"")";"(""RS"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")"
MA1_014;"(""R"", ""R"")";"(""R"", ""R"")";"(""QR"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""R"")";"(""R"", ""QRS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""QR"", ""RS"")";"(""QRS"", ""RS"")";"(""RS"", ""RS"")"
MA1_015;"(""QRS"", ""QRS"")";"(""QRS"", ""QR"")";"(""QRS"", ""QR"")";"(""Q"", ""QR"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""QR"", ""RS"")";"(""QR"", ""QR"")"
MA1_016;"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""RS"", ""QR"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""R"", ""R"")"
MA1_017;"(""R"", ""R"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")";"(""QRS"", ""R"")"
MA1_018;"(""R"", ""QRS"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")";"(""Q"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""Q"")";"(""RS"", ""R"")"
MA1_019;"(""R"", ""R"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""QR"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""R"", ""RS"")"
MA1_020;"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")";"(""R"", ""R"")"
MA1_021;"(""QRS"", ""QRS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""QR"", ""Q"")";"(""R"", ""R"")";"(""QRS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""R"", ""RS"")";"(""R"", ""R"")"
MA1_022;"(""QRS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")"
MA1_023;"(""R"", ""R"")";"(""R"", ""Q"")";"(""Q"", ""QRS"")";"(""Q"", ""QR"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""R"", ""R"")"
MA1_024;"(""QRS"", ""QRS"")";"(""R"", ""R"")";"(""QRS"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QRS"")";"(""QRS"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")"
MA1_025;"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""RS"", ""RS"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""QRS"", ""RS"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""R"", ""R"")";"(""QRS"", ""QRS"")"
MA1_026;"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""R"", ""RS"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""QR"")";"(""RS"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")"
MA1_027;"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""RS"", ""R"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""RS"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""QRS"", ""QRS"")"
MA1_028;"(""QRS"", ""QR"")";"(""R"", ""QRS"")";"(""R"", ""QRS"")";"(""Q"", ""QR"")";"(""Q"", ""QR"")";"(""R"", ""QRS"")";"(""Q"", ""QR"")";"(""Q"", ""QR"")";"(""Q"", ""QR"")";"(""Q"", ""QR"")";"(""QR"", ""QRS"")";"(""R"", ""RS"")"
MA1_029;"(""R"", ""R"")";"(""R"", ""RS"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""QRS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""RS"")";"(""R"", ""QR"")";"(""R"", ""R"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")"
MA1_030;"(""R"", ""QR"")";"(""QR"", ""QR"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""R"", ""QRS"")"
MA1_031;"(""RS"", ""R"")";"(""R"", ""R"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""QRS"", ""Q"")";"(""R"", ""QR"")";"(""QR"", ""Q"")";"(""RS"", ""RS"")";"(""QRS"", ""RS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QR"")";"(""QR"", ""QR"")"
MA1_032;"(""R"", ""R"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""R"")";"(""RS"", ""RS"")";"(""RS"", ""R"")"
MA1_033;"(""R"", ""R"")";"(""RS"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""Q"")";"(""RS"", ""R"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""RS"", ""RS"")";"(""RS"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")"
MA1_034;"(""QRS"", ""Q"")";"(""RS"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""Q"")";"(""QRS"", ""RS"")";"(""QRS"", ""RS"")";"(""RS"", ""RS"")"
MA1_035;"(""RS"", ""Q"")";"(""QR"", ""QRS"")";"(""QR"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QRS"")";"(""Q"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""R"", ""RS"")"
MA1_036;"(""R"", ""R"")";"(""QR"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""Q"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""R"", ""R"")"
MA1_037;"(""QRS"", ""Q"")";"(""R"", ""RS"")";"(""R"", ""RS"")";"(""Q"", ""QR"")";"(""QRS"", ""RS"")";"(""R"", ""R"")";"(""Q"", ""QR"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""R"")";"(""R"", ""R"")";"(""RS"", ""RS"")"
MA1_038;"(""QR"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""R"", ""QR"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""RS"", ""RS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QR"", ""QRS"")";"(""R"", ""RS"")"
MA1_039;"(""R"", ""R"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""QR"", ""Q"")";"(""QR"", ""QR"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")"
MA1_040;"(""R"", ""RS"")";"(""RS"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""RS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")"
