name_File;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12
MA1_001;"(""QRS"", ""QR"")";"(""RS"", ""RS"")";"(""Q"", ""RS"")";"(""QR"", ""QRS"")";"(""QRS"", ""RS"")";"(""RS"", ""RS"")";"(""R"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""Q"", ""QR"")"
MA1_002;"(""R"", ""R"")";"(""RS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""RS"", ""QR"")";"(""R"", ""RS"")"
MA1_003;"(""R"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""Q"", ""QR"")";"(""QR"", ""QR"")";"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""Q"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")"
MA1_004;"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""R"", ""R"")";"(""RS"", ""Q"")";"(""RS"", ""RS"")";"(""RS"", ""QRS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")"
MA1_005;"(""Q"", ""Q"")";"(""R"", ""R"")";"(""R"", ""RS"")";"(""QR"", ""QR"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""RS"", ""RS"")";"(""Q"", ""R"")";"(""RS"", ""RS"")";"(""RS"", ""RS"")";"(""R"", ""RS"")";"(""QRS"", ""R"")"
MA1_006;"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QR"", ""Q"")";"(""QR"", ""QR"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""R"", ""RS"")"
MA1_007;"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""R"", ""QR"")";"(""Q"", ""Q"")";"(""RS"", ""Q"")";"(""R"", ""QR"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")";"(""QRS"", ""QRS"")"
MA1_008;"(""R"", ""R"")";"(""R"", ""R"")";"(""Q"", ""QR"")";"(""Q"", ""RS"")";"(""R"", ""RS"")";"(""QRS"", ""QRS"")";"(""Q"", ""RS"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""R"", ""R"")";"(""R"", ""R"")"
MA1_009;"(""QRS"", ""QRS"")";"(""QR"", ""QR"")";"(""QR"", ""QR"")";"(""QR"", ""QR"")";"(""QRS"", ""Q"")";"(""QR"", ""QR"")";"(""R"", ""R"")";"(""R"", ""RS"")";"(""QRS"", ""QR"")";"(""QRS"", ""RS"")";"(""QRS"", ""RS"")";"(""QRS"", ""QRS"")"
MA1_010;"(""R"", ""R"")";"(""Q"", ""Q"")";"(""Q"", ""Q"")";"(""QR"", ""QR"")";"(""RS"", ""R"")";"(""Q"", ""Q"")";"(""R"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""RS"", ""R"")";"(""R"", ""RS"")"
MA1_011;"(""R"", ""QR"")";"(""R"", ""R"")";"(""RS"", ""Q"")";"(""Q"", ""Q"")";"(""R"", ""QR"")";"(""QRS"", ""QRS"")";"(""Q"", ""Q"")";"(""RS"", ""QRS"")";"(""RS"", ""RS"")";"(""R"", ""R"")";"(""R"", ""R"")";"(""QRS"", ""QRS"")"
